year,month,Line,n,yearoflaunch,monthoflaunch,name,disabledfriendly,parkingavailable,elevatoravailable,lat,I
2002,12,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2002,12,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2002,12,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2002,12,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2002,12,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2002,12,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,1,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,1,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,1,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,1,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,1,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,1,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,2,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,2,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,2,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,2,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,2,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,2,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,3,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,3,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,3,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,3,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,3,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,3,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,4,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,4,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,4,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,4,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,4,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,4,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,5,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,5,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,5,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,5,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,5,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,5,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,6,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,6,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,6,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,6,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,6,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,6,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,7,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,7,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,7,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,7,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,7,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,7,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,8,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,8,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,8,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,8,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,8,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,8,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,9,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,9,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,9,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,9,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,9,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,9,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,10,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,10,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,10,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,10,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,10,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,10,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,10,Red Line 1,7,2003,10,PULBANGASH,1,1,1,28.666398,77.2073716
2003,10,Red Line 1,8,2003,10,PRATAP NAGAR,1,1,1,28.666615,77.19888259999999
2003,10,Red Line 1,9,2003,10,SHASTRI NAGAR,1,1,1,28.6704313,77.1795848
2003,10,Red Line 1,10,2003,10,INDER LOK,1,1,1,28.673571,77.17029599999999
2003,11,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,11,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,11,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,11,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,11,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,11,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2003,11,Red Line 1,7,2003,10,PULBANGASH,1,1,1,28.666398,77.2073716
2003,11,Red Line 1,8,2003,10,PRATAP NAGAR,1,1,1,28.666615,77.19888259999999
2003,11,Red Line 1,9,2003,10,SHASTRI NAGAR,1,1,1,28.6704313,77.1795848
2003,11,Red Line 1,10,2003,10,INDER LOK,1,1,1,28.673571,77.17029599999999
2003,12,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2003,12,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2003,12,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2003,12,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2003,12,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2003,12,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2004,1,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2004,1,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2004,1,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2004,1,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2004,1,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
2004,1,Red Line 1,6,2002,12,TIS HAZARI,1,1,1,28.6677524,77.21305630000001
2004,1,Red Line 1,7,2003,10,PULBANGASH,1,1,1,28.666398,77.2073716
2004,1,Red Line 1,8,2003,10,PRATAP NAGAR,1,1,1,28.666615,77.19888259999999
2004,1,Red Line 1,9,2003,10,SHASTRI NAGAR,1,1,1,28.6704313,77.1795848
2004,1,Red Line 1,10,2003,10,INDER LOK,1,1,1,28.673571,77.17029599999999
2004,2,Red Line 1,1,2002,12,SHAHDARA,1,1,1,28.6701119,77.2679481
2004,2,Red Line 1,2,2002,12,WELCOME,1,1,1,28.67179029999999,77.27768089999999
2004,2,Red Line 1,3,2002,12,SEELAMPUR,1,1,1,28.6678232,77.212413
2004,2,Red Line 1,4,2002,12,SHASTRI PARK,1,1,1,28.6678232,77.212413
2004,2,Red Line 1,5,2002,12,KASHMERE GATE,1,1,1,28.6678232,77.212413
